"","X",".id","V1","phonenumber_t_test"
"1",1,"E4Acc_Min",0.36449719811887,0.507735049017791
"2",2,"E4Acc_Q1",0.725091012553031,0.549755550689227
"3",3,"E4Acc_Median",0.90960118748402,0.683081429283179
"4",4,"E4Acc_Mean",0.996908156352277,0.729448277651435
"5",5,"E4Acc_Q3",0.915311355125092,0.793540117059751
"6",6,"E4Acc_Max",0.236778424460502,0.39740955787464
"7",7,"E4bvp_Min",0.817049753230234,0.90594645121615
"8",8,"E4bvp_Q1",0.461740209663938,0.22848852778402
"9",9,"E4bvp_Median",0.883857579188894,0.78006623256152
"10",10,"E4bvp_Mean",0.60102062346652,0.943688302020051
"11",11,"E4bvp_Q3",0.689986598038326,0.269575953445951
"12",12,"E4bvp_Max",0.519383504672694,0.713259620376919
"13",13,"E4gsr_Min",0.929775590453381,0.857467152941708
"14",14,"E4gsr_Q1",0.913804712432101,0.847501342806934
"15",15,"E4gsr_Median",0.844816562109376,0.87093602688423
"16",16,"E4gsr_Mean",0.915619447972299,0.865888009011185
"17",17,"E4gsr_Q3",0.860411853981142,0.879319481697049
"18",18,"E4gsr_Max",0.893257866929527,0.848857463940072
"19",19,"E4temp_Min",0.247346702738747,0.623948475170863
"20",20,"E4temp_Q1",0.262493587189284,0.628006614088789
"21",21,"E4temp_Median",0.126459094090214,0.643543518263773
"22",22,"E4temp_Mean",0.38650565969829,0.630488281075472
"23",23,"E4temp_Q3",0.650420397517827,0.633832320348933
"24",24,"E4temp_Max",0.668974661692431,0.637719127093044
"25",25,"sensortag_Min",0.653047763819642,0.795580863128968
"26",26,"sensortag_Q1",0.598716234488103,0.854015653395008
"27",27,"sensortag_Median",0.655041777226786,0.731448210482304
"28",28,"sensortag_Mean",0.614793440031106,0.632688273195229
"29",29,"sensortag_Q3",0.629135209570453,0.573865180251166
"30",30,"sensortag_Max",0.50946519057076,0.587326364006071
"31",31,"phone_acc_Min",0.606308791409397,0.875264577339577
"32",32,"phone_acc_Q1",0.814569713690115,0.960112653532843
"33",33,"phone_acc_Median",0.795120007538682,0.853254382012813
"34",34,"phone_acc_Mean",0.889593465513441,0.913334243413759
"35",35,"phone_acc_Q3",0.523651195129694,0.814813141759625
"36",36,"phone_acc_Max",0.189647181071591,0.585499679264845
